Data,Dia da Semana,Feriado,Year
6/23/2011,quinta-feira,Corpus Christi,2011
9/7/2011,quarta-feira,Independência do Brasil,2011
10/12/2011,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2011
11/2/2011,quarta-feira,Finados,2011
11/15/2011,terça-feira,Proclamação da República,2011
12/25/2011,domingo,Natal,2011
1/1/2012,domingo,Confraternização Universal,2012
2/20/2012,segunda-feira,Carnaval,2012
2/21/2012,terça-feira,Carnaval,2012
4/6/2012,sexta-feira,Paixão de Cristo,2012
4/21/2012,sábado,Tiradentes,2012
5/1/2012,terça-feira,Dia do Trabalho,2012
6/7/2012,quinta-feira,Corpus Christi,2012
9/7/2012,sexta-feira,Independência do Brasil,2012
10/12/2012,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2012
11/2/2012,sexta-feira,Finados,2012
11/15/2012,quinta-feira,Proclamação da República,2012
12/25/2012,terça-feira,Natal,2012
1/1/2013,terça-feira,Confraternização Universal,2013
2/11/2013,segunda-feira,Carnaval,2013
2/12/2013,terça-feira,Carnaval,2013
3/29/2013,sexta-feira,Paixão de Cristo,2013
4/21/2013,domingo,Tiradentes,2013
5/1/2013,quarta-feira,Dia do Trabalho,2013
5/30/2013,quinta-feira,Corpus Christi,2013
9/7/2013,sábado,Independência do Brasil,2013
10/12/2013,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil,2013
11/2/2013,sábado,Finados,2013
11/15/2013,sexta-feira,Proclamação da República,2013
12/25/2013,quarta-feira,Natal,2013
1/1/2014,quarta-feira,Confraternização Universal,2014
3/3/2014,segunda-feira,Carnaval,2014
3/4/2014,terça-feira,Carnaval,2014
4/18/2014,sexta-feira,Paixão de Cristo,2014
4/21/2014,segunda-feira,Tiradentes,2014
5/1/2014,quinta-feira,Dia do Trabalho,2014
6/19/2014,quinta-feira,Corpus Christi,2014
9/7/2014,domingo,Independência do Brasil,2014
10/12/2014,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil,2014
11/2/2014,domingo,Finados,2014
11/15/2014,sábado,Proclamação da República,2014
12/25/2014,quinta-feira,Natal,2014
1/1/2015,quinta-feira,Confraternização Universal,2015
2/16/2015,segunda-feira,Carnaval,2015
2/17/2015,terça-feira,Carnaval,2015
4/3/2015,sexta-feira,Paixão de Cristo,2015
4/21/2015,terça-feira,Tiradentes,2015
5/1/2015,sexta-feira,Dia do Trabalho,2015
6/4/2015,quinta-feira,Corpus Christi,2015
9/7/2015,segunda-feira,Independência do Brasil,2015
10/12/2015,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2015
11/2/2015,segunda-feira,Finados,2015
11/15/2015,domingo,Proclamação da República,2015
12/25/2015,sexta-feira,Natal,2015
1/1/2016,sexta-feira,Confraternização Universal,2016
2/8/2016,segunda-feira,Carnaval,2016
2/9/2016,terça-feira,Carnaval,2016
3/25/2016,sexta-feira,Paixão de Cristo,2016
4/21/2016,quinta-feira,Tiradentes,2016
5/1/2016,domingo,Dia do Trabalho,2016
5/26/2016,quinta-feira,Corpus Christi,2016
9/7/2016,quarta-feira,Independência do Brasil,2016
10/12/2016,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2016
11/2/2016,quarta-feira,Finados,2016
11/15/2016,terça-feira,Proclamação da República,2016
12/25/2016,domingo,Natal,2016
1/1/2017,domingo,Confraternização Universal,2017
2/27/2017,segunda-feira,Carnaval,2017
2/28/2017,terça-feira,Carnaval,2017
4/14/2017,sexta-feira,Paixão de Cristo,2017
4/21/2017,sexta-feira,Tiradentes,2017
5/1/2017,segunda-feira,Dia do Trabalho,2017
6/15/2017,quinta-feira,Corpus Christi,2017
9/7/2017,quinta-feira,Independência do Brasil,2017
10/12/2017,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2017
11/2/2017,quinta-feira,Finados,2017
11/15/2017,quarta-feira,Proclamação da República,2017
12/25/2017,segunda-feira,Natal,2017
1/1/2018,segunda-feira,Confraternização Universal,2018
2/12/2018,segunda-feira,Carnaval,2018
2/13/2018,terça-feira,Carnaval,2018
3/30/2018,sexta-feira,Paixão de Cristo,2018
4/21/2018,sábado,Tiradentes,2018
5/1/2018,terça-feira,Dia do Trabalho,2018
5/31/2018,quinta-feira,Corpus Christi,2018
9/7/2018,sexta-feira,Independência do Brasil,2018
10/12/2018,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2018
11/2/2018,sexta-feira,Finados,2018
11/15/2018,quinta-feira,Proclamação da República,2018
12/25/2018,terça-feira,Natal,2018
1/1/2019,terça-feira,Confraternização Universal,2019
3/4/2019,segunda-feira,Carnaval,2019
3/5/2019,terça-feira,Carnaval,2019
4/19/2019,sexta-feira,Paixão de Cristo,2019
4/21/2019,domingo,Tiradentes,2019
5/1/2019,quarta-feira,Dia do Trabalho,2019
6/20/2019,quinta-feira,Corpus Christi,2019
9/7/2019,sábado,Independência do Brasil,2019
10/12/2019,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil,2019
11/2/2019,sábado,Finados,2019
11/15/2019,sexta-feira,Proclamação da República,2019
12/25/2019,quarta-feira,Natal,2019
1/1/2020,quarta-feira,Confraternização Universal,2020
2/24/2020,segunda-feira,Carnaval,2020
2/25/2020,terça-feira,Carnaval,2020
4/10/2020,sexta-feira,Paixão de Cristo,2020
4/21/2020,terça-feira,Tiradentes,2020
5/1/2020,sexta-feira,Dia do Trabalho,2020
6/11/2020,quinta-feira,Corpus Christi,2020
9/7/2020,segunda-feira,Independência do Brasil,2020
10/12/2020,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2020
11/2/2020,segunda-feira,Finados,2020
11/15/2020,domingo,Proclamação da República,2020
12/25/2020,sexta-feira,Natal,2020
1/1/2021,sexta-feira,Confraternização Universal,2021
2/15/2021,segunda-feira,Carnaval,2021
2/16/2021,terça-feira,Carnaval,2021
4/2/2021,sexta-feira,Paixão de Cristo,2021
4/21/2021,quarta-feira,Tiradentes,2021
5/1/2021,sábado,Dia do Trabalho,2021
6/3/2021,quinta-feira,Corpus Christi,2021
9/7/2021,terça-feira,Independência do Brasil,2021
10/12/2021,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2021
11/2/2021,terça-feira,Finados,2021
11/15/2021,segunda-feira,Proclamação da República,2021
12/25/2021,sábado,Natal,2021
1/1/2022,sábado,Confraternização Universal,2022
2/28/2022,segunda-feira,Carnaval,2022
3/1/2022,terça-feira,Carnaval,2022
4/15/2022,sexta-feira,Paixão de Cristo,2022
4/21/2022,quinta-feira,Tiradentes,2022
5/1/2022,domingo,Dia do Trabalho,2022
6/16/2022,quinta-feira,Corpus Christi,2022
9/7/2022,quarta-feira,Independência do Brasil,2022
10/12/2022,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2022
11/2/2022,quarta-feira,Finados,2022
11/15/2022,terça-feira,Proclamação da República,2022
12/25/2022,domingo,Natal,2022
1/1/2023,domingo,Confraternização Universal,2023
2/20/2023,segunda-feira,Carnaval,2023
2/21/2023,terça-feira,Carnaval,2023
4/7/2023,sexta-feira,Paixão de Cristo,2023
4/21/2023,sexta-feira,Tiradentes,2023
5/1/2023,segunda-feira,Dia do Trabalho,2023
6/8/2023,quinta-feira,Corpus Christi,2023
9/7/2023,quinta-feira,Independência do Brasil,2023
10/12/2023,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2023
11/2/2023,quinta-feira,Finados,2023
11/15/2023,quarta-feira,Proclamação da República,2023
12/25/2023,segunda-feira,Natal,2023
1/1/2024,segunda-feira,Confraternização Universal,2024
2/12/2024,segunda-feira,Carnaval,2024
2/13/2024,terça-feira,Carnaval,2024
3/29/2024,sexta-feira,Paixão de Cristo,2024
4/21/2024,domingo,Tiradentes,2024
5/1/2024,quarta-feira,Dia do Trabalho,2024
5/30/2024,quinta-feira,Corpus Christi,2024
9/7/2024,sábado,Independência do Brasil,2024
10/12/2024,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil,2024
11/2/2024,sábado,Finados,2024
11/15/2024,sexta-feira,Proclamação da República,2024
12/25/2024,quarta-feira,Natal,2024
1/1/2025,quarta-feira,Confraternização Universal,2025
3/3/2025,segunda-feira,Carnaval,2025
3/4/2025,terça-feira,Carnaval,2025
4/18/2025,sexta-feira,Paixão de Cristo,2025
4/21/2025,segunda-feira,Tiradentes,2025
5/1/2025,quinta-feira,Dia do Trabalho,2025
6/19/2025,quinta-feira,Corpus Christi,2025
9/7/2025,domingo,Independência do Brasil,2025
10/12/2025,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil,2025
11/2/2025,domingo,Finados,2025
11/15/2025,sábado,Proclamação da República,2025
12/25/2025,quinta-feira,Natal,2025
1/1/2026,quinta-feira,Confraternização Universal,2026
2/16/2026,segunda-feira,Carnaval,2026
2/17/2026,terça-feira,Carnaval,2026
4/3/2026,sexta-feira,Paixão de Cristo,2026
4/21/2026,terça-feira,Tiradentes,2026
5/1/2026,sexta-feira,Dia do Trabalho,2026
6/4/2026,quinta-feira,Corpus Christi,2026
9/7/2026,segunda-feira,Independência do Brasil,2026
10/12/2026,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2026
11/2/2026,segunda-feira,Finados,2026
11/15/2026,domingo,Proclamação da República,2026
12/25/2026,sexta-feira,Natal,2026
1/1/2027,sexta-feira,Confraternização Universal,2027
2/8/2027,segunda-feira,Carnaval,2027
2/9/2027,terça-feira,Carnaval,2027
3/26/2027,sexta-feira,Paixão de Cristo,2027
4/21/2027,quarta-feira,Tiradentes,2027
5/1/2027,sábado,Dia do Trabalho,2027
5/27/2027,quinta-feira,Corpus Christi,2027
9/7/2027,terça-feira,Independência do Brasil,2027
10/12/2027,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil,2027
11/2/2027,terça-feira,Finados,2027
